会社名,報告番号,対象月,報告項目,実績,課題,次月対応,責任者,状態
株式会社光洋フーズ,RPT-26-001,2026-01,売上実績,計画比102%で着地,一部案件の検収遅延,検収日程を週次管理,田中 美咲,報告済
株式会社光洋フーズ,RPT-26-002,2026-02,店舗運営,欠品率を前月比0.8pt改善,繁忙時間帯の人員不足,シフト配置を再調整,高橋 直樹,対応中
株式会社光洋フーズ,RPT-26-003,2026-03,品質管理,返品件数を前月比12%削減,新商品の表示確認,表示確認手順を更新,伊藤 彩,確認済
株式会社光洋フーズ,RPT-26-004,2026-04,設備保全,定期点検を予定どおり完了,交換部品の納期長期化,代替部品を選定,渡辺 誠,報告済
株式会社光洋フーズ,RPT-26-005,2026-05,採用活動,採用2名の入社を確定,専門職の応募数不足,紹介会社を追加,小林 真由,対応中
株式会社光洋フーズ,RPT-26-006,2026-01,物流改善,配送遅延を前月比18%削減,遠隔地配送の費用増,配送ルートを再設計,佐藤 陽子,確認済
株式会社光洋フーズ,RPT-26-007,2026-02,売上実績,計画比102%で着地,一部案件の検収遅延,検収日程を週次管理,鈴木 健太,報告済
株式会社光洋フーズ,RPT-26-008,2026-03,店舗運営,欠品率を前月比0.8pt改善,繁忙時間帯の人員不足,シフト配置を再調整,田中 美咲,対応中
株式会社光洋フーズ,RPT-26-009,2026-04,品質管理,返品件数を前月比12%削減,新商品の表示確認,表示確認手順を更新,高橋 直樹,確認済
株式会社光洋フーズ,RPT-26-010,2026-05,設備保全,定期点検を予定どおり完了,交換部品の納期長期化,代替部品を選定,伊藤 彩,報告済
株式会社光洋フーズ,RPT-26-011,2026-01,採用活動,採用2名の入社を確定,専門職の応募数不足,紹介会社を追加,渡辺 誠,対応中
株式会社光洋フーズ,RPT-26-012,2026-02,物流改善,配送遅延を前月比18%削減,遠隔地配送の費用増,配送ルートを再設計,小林 真由,確認済
株式会社光洋フーズ,RPT-26-013,2026-03,売上実績,計画比102%で着地,一部案件の検収遅延,検収日程を週次管理,佐藤 陽子,報告済
株式会社光洋フーズ,RPT-26-014,2026-04,店舗運営,欠品率を前月比0.8pt改善,繁忙時間帯の人員不足,シフト配置を再調整,鈴木 健太,対応中
株式会社光洋フーズ,RPT-26-015,2026-05,品質管理,返品件数を前月比12%削減,新商品の表示確認,表示確認手順を更新,田中 美咲,確認済
株式会社光洋フーズ,RPT-26-016,2026-01,設備保全,定期点検を予定どおり完了,交換部品の納期長期化,代替部品を選定,高橋 直樹,報告済
株式会社光洋フーズ,RPT-26-017,2026-02,採用活動,採用2名の入社を確定,専門職の応募数不足,紹介会社を追加,伊藤 彩,対応中
株式会社光洋フーズ,RPT-26-018,2026-03,物流改善,配送遅延を前月比18%削減,遠隔地配送の費用増,配送ルートを再設計,渡辺 誠,確認済
株式会社光洋フーズ,RPT-26-019,2026-04,売上実績,計画比102%で着地,一部案件の検収遅延,検収日程を週次管理,小林 真由,報告済
株式会社光洋フーズ,RPT-26-020,2026-05,店舗運営,欠品率を前月比0.8pt改善,繁忙時間帯の人員不足,シフト配置を再調整,佐藤 陽子,対応中
株式会社光洋フーズ,RPT-26-021,2026-01,品質管理,返品件数を前月比12%削減,新商品の表示確認,表示確認手順を更新,鈴木 健太,確認済
株式会社光洋フーズ,RPT-26-022,2026-02,設備保全,定期点検を予定どおり完了,交換部品の納期長期化,代替部品を選定,田中 美咲,報告済
株式会社光洋フーズ,RPT-26-023,2026-03,採用活動,採用2名の入社を確定,専門職の応募数不足,紹介会社を追加,高橋 直樹,対応中
株式会社光洋フーズ,RPT-26-024,2026-04,物流改善,配送遅延を前月比18%削減,遠隔地配送の費用増,配送ルートを再設計,伊藤 彩,確認済
株式会社光洋フーズ,RPT-26-025,2026-05,売上実績,計画比102%で着地,一部案件の検収遅延,検収日程を週次管理,渡辺 誠,報告済
株式会社光洋フーズ,RPT-26-026,2026-01,店舗運営,欠品率を前月比0.8pt改善,繁忙時間帯の人員不足,シフト配置を再調整,小林 真由,対応中
株式会社光洋フーズ,RPT-26-027,2026-02,品質管理,返品件数を前月比12%削減,新商品の表示確認,表示確認手順を更新,佐藤 陽子,確認済
株式会社光洋フーズ,RPT-26-028,2026-03,設備保全,定期点検を予定どおり完了,交換部品の納期長期化,代替部品を選定,鈴木 健太,報告済
株式会社光洋フーズ,RPT-26-029,2026-04,採用活動,採用2名の入社を確定,専門職の応募数不足,紹介会社を追加,田中 美咲,対応中
株式会社光洋フーズ,RPT-26-030,2026-05,物流改善,配送遅延を前月比18%削減,遠隔地配送の費用増,配送ルートを再設計,高橋 直樹,確認済
株式会社光洋フーズ,RPT-26-031,2026-01,売上実績,計画比102%で着地,一部案件の検収遅延,検収日程を週次管理,伊藤 彩,報告済
株式会社光洋フーズ,RPT-26-032,2026-02,店舗運営,欠品率を前月比0.8pt改善,繁忙時間帯の人員不足,シフト配置を再調整,渡辺 誠,対応中
