No,日付,分類,関連分類,件名,取引先,部署,担当,金額,状態,メモ
07-001,2026-04-20,経費,経費,備品購入 001（経費確認含む）,港南リサーチ株式会社,管理本部,小林 真由,14836,確認待ち,管理本部で確認中。経費に関連する資料と照合予定。
07-002,2026-04-21,経費,請求,出張旅費 002（請求確認含む）,株式会社千代田ソリューション,経理部,佐藤 陽子,16206,承認済,経理部で確認中。請求に関連する資料と照合予定。
07-003,2026-04-22,経費,会議,通信費 003（会議確認含む）,橘建材株式会社,総務部,鈴木 健太,17576,差戻し,総務部で確認中。会議に関連する資料と照合予定。
07-004,2026-04-23,経費,契約,交通費精算 004（契約確認含む）,株式会社晴海オフィスサービス,営業企画部,田中 美咲,18946,保留,営業企画部で確認中。契約に関連する資料と照合予定。
07-005,2026-04-24,経費,見積,会議費精算 005（見積確認含む）,,法務部,高橋 直樹,20316,完了,法務部で確認中。見積に関連する資料と照合予定。
07-006,2026-04-25,経費,報告,備品購入 006（報告確認含む）,株式会社白峰システムズ,人事部,伊藤 彩,21686,作成中,人事部で確認中。報告に関連する資料と照合予定。
07-007,2026-04-26,経費,人事,出張旅費 007（人事確認含む）,株式会社桜丘ロジスティクス,情報システム部,渡辺 誠,23056,確認待ち,情報システム部で確認中。人事に関連する資料と照合予定。
07-008,2026-04-27,経費,経費,通信費 008（経費確認含む）,北浜製作所株式会社,管理本部,小林 真由,24426,承認済,管理本部で確認中。経費に関連する資料と照合予定。
07-009,2026-04-28,経費,請求,交通費精算 009（請求確認含む）,合同会社六本木デザイン,経理部,佐藤 陽子,25796,差戻し,経理部で確認中。請求に関連する資料と照合予定。
07-010,2026-04-29,経費,会議,会議費精算 010（会議確認含む）,株式会社東都メディア,総務部,鈴木 健太,27166,保留,総務部で確認中。会議に関連する資料と照合予定。
07-011,2026-04-30,経費,契約,備品購入 011（契約確認含む）,南青山フーズ株式会社,営業企画部,田中 美咲,28536,完了,営業企画部で確認中。契約に関連する資料と照合予定。
07-012,2026-05-01,経費,見積,出張旅費 012（見積確認含む）,株式会社瑞穂設備,法務部,高橋 直樹,29906,作成中,法務部で確認中。見積に関連する資料と照合予定。
07-013,2026-05-02,経費,報告,通信費 013（報告確認含む）,港南リサーチ株式会社,人事部,伊藤 彩,31276,確認待ち,人事部で確認中。報告に関連する資料と照合予定。
07-014,2026-05-03,経費,人事,交通費精算 014（人事確認含む）,株式会社千代田ソリューション,情報システム部,渡辺 誠,32646,承認済,情報システム部で確認中。人事に関連する資料と照合予定。
07-015,2026-05-04,経費,経費,会議費精算 015（経費確認含む）,橘建材株式会社,管理本部,小林 真由,34016,差戻し,管理本部で確認中。経費に関連する資料と照合予定。
07-016,2026-05-05,経費,請求,備品購入 016（請求確認含む）,,経理部,佐藤 陽子,35386,保留,経理部で確認中。請求に関連する資料と照合予定。
07-017,2026-05-06,経費,会議,出張旅費 017（会議確認含む）,京橋データワークス株式会社,総務部,鈴木 健太,36756,完了,総務部で確認中。会議に関連する資料と照合予定。
07-018,2026-05-07,経費,契約,通信費 018（契約確認含む）,株式会社白峰システムズ,営業企画部,田中 美咲,38126,作成中,営業企画部で確認中。契約に関連する資料と照合予定。
07-019,2026-05-08,経費,見積,交通費精算 019（見積確認含む）,株式会社桜丘ロジスティクス,法務部,高橋 直樹,39496,確認待ち,法務部で確認中。見積に関連する資料と照合予定。
07-020,2026-05-09,経費,報告,会議費精算 020（報告確認含む）,北浜製作所株式会社,人事部,伊藤 彩,40866,承認済,人事部で確認中。報告に関連する資料と照合予定。
07-021,2026-05-10,経費,人事,備品購入 021（人事確認含む）,合同会社六本木デザイン,情報システム部,渡辺 誠,42236,差戻し,情報システム部で確認中。人事に関連する資料と照合予定。
07-022,2026-05-11,経費,経費,出張旅費 022（経費確認含む）,株式会社東都メディア,管理本部,小林 真由,43606,保留,管理本部で確認中。経費に関連する資料と照合予定。
07-023,2026-05-12,経費,請求,通信費 023（請求確認含む）,南青山フーズ株式会社,経理部,佐藤 陽子,44976,完了,経理部で確認中。請求に関連する資料と照合予定。
07-024,2026-05-13,経費,会議,交通費精算 024（会議確認含む）,株式会社瑞穂設備,総務部,鈴木 健太,46346,作成中,総務部で確認中。会議に関連する資料と照合予定。
07-025,2026-05-14,経費,契約,会議費精算 025（契約確認含む）,港南リサーチ株式会社,営業企画部,田中 美咲,47716,確認待ち,営業企画部で確認中。契約に関連する資料と照合予定。
07-026,2026-05-15,経費,見積,備品購入 026（見積確認含む）,株式会社千代田ソリューション,法務部,高橋 直樹,49086,承認済,法務部で確認中。見積に関連する資料と照合予定。
07-027,2026-05-16,経費,報告,出張旅費 027（報告確認含む）,,人事部,伊藤 彩,50456,差戻し,人事部で確認中。報告に関連する資料と照合予定。
07-028,2026-05-17,経費,人事,通信費 028（人事確認含む）,株式会社晴海オフィスサービス,情報システム部,渡辺 誠,51826,保留,情報システム部で確認中。人事に関連する資料と照合予定。
07-029,2026-05-18,経費,経費,交通費精算 029（経費確認含む）,京橋データワークス株式会社,管理本部,小林 真由,53196,完了,管理本部で確認中。経費に関連する資料と照合予定。
07-030,2026-05-19,経費,請求,会議費精算 030（請求確認含む）,株式会社白峰システムズ,経理部,佐藤 陽子,54566,作成中,経理部で確認中。請求に関連する資料と照合予定。
07-031,2026-05-20,経費,会議,備品購入 031（会議確認含む）,株式会社桜丘ロジスティクス,総務部,鈴木 健太,55936,確認待ち,総務部で確認中。会議に関連する資料と照合予定。
07-032,2026-05-21,経費,契約,出張旅費 032（契約確認含む）,北浜製作所株式会社,営業企画部,田中 美咲,57306,承認済,営業企画部で確認中。契約に関連する資料と照合予定。
07-033,2026-05-22,経費,見積,通信費 033（見積確認含む）,合同会社六本木デザイン,法務部,高橋 直樹,58676,差戻し,法務部で確認中。見積に関連する資料と照合予定。
07-034,2026-05-23,経費,報告,交通費精算 034（報告確認含む）,株式会社東都メディア,人事部,伊藤 彩,60046,保留,人事部で確認中。報告に関連する資料と照合予定。
07-035,2026-05-24,経費,人事,会議費精算 035（人事確認含む）,南青山フーズ株式会社,情報システム部,渡辺 誠,61416,完了,情報システム部で確認中。人事に関連する資料と照合予定。
07-036,2026-05-25,経費,経費,備品購入 036（経費確認含む）,株式会社瑞穂設備,管理本部,小林 真由,62786,作成中,管理本部で確認中。経費に関連する資料と照合予定。
07-037,2026-05-26,経費,請求,出張旅費 037（請求確認含む）,港南リサーチ株式会社,経理部,佐藤 陽子,64156,確認待ち,経理部で確認中。請求に関連する資料と照合予定。
07-038,2026-05-27,経費,会議,通信費 038（会議確認含む）,,総務部,鈴木 健太,65526,承認済,総務部で確認中。会議に関連する資料と照合予定。
07-039,2026-05-28,経費,契約,交通費精算 039（契約確認含む）,橘建材株式会社,営業企画部,田中 美咲,66896,差戻し,営業企画部で確認中。契約に関連する資料と照合予定。
07-040,2026-05-29,経費,見積,会議費精算 040（見積確認含む）,株式会社晴海オフィスサービス,法務部,高橋 直樹,68266,保留,法務部で確認中。見積に関連する資料と照合予定。
07-041,2026-05-30,経費,報告,備品購入 041（報告確認含む）,京橋データワークス株式会社,人事部,伊藤 彩,69636,完了,人事部で確認中。報告に関連する資料と照合予定。
07-042,2026-05-31,経費,人事,出張旅費 042（人事確認含む）,株式会社白峰システムズ,情報システム部,渡辺 誠,71006,作成中,情報システム部で確認中。人事に関連する資料と照合予定。
07-043,2026-06-01,経費,経費,通信費 043（経費確認含む）,株式会社桜丘ロジスティクス,管理本部,小林 真由,72376,確認待ち,管理本部で確認中。経費に関連する資料と照合予定。
07-044,2026-06-02,経費,請求,交通費精算 044（請求確認含む）,北浜製作所株式会社,経理部,佐藤 陽子,73746,承認済,経理部で確認中。請求に関連する資料と照合予定。
07-045,2026-06-03,経費,会議,会議費精算 045（会議確認含む）,合同会社六本木デザイン,総務部,鈴木 健太,75116,差戻し,総務部で確認中。会議に関連する資料と照合予定。
07-046,2026-06-04,経費,契約,備品購入 046（契約確認含む）,株式会社東都メディア,営業企画部,田中 美咲,76486,保留,営業企画部で確認中。契約に関連する資料と照合予定。
07-047,2026-06-05,経費,見積,出張旅費 047（見積確認含む）,南青山フーズ株式会社,法務部,高橋 直樹,77856,完了,法務部で確認中。見積に関連する資料と照合予定。
07-048,2026-06-06,経費,報告,通信費 048（報告確認含む）,株式会社瑞穂設備,人事部,伊藤 彩,79226,作成中,人事部で確認中。報告に関連する資料と照合予定。
07-049,2026-06-07,経費,人事,交通費精算 049（人事確認含む）,,情報システム部,渡辺 誠,80596,確認待ち,情報システム部で確認中。人事に関連する資料と照合予定。
07-050,2026-06-08,経費,経費,会議費精算 050（経費確認含む）,株式会社千代田ソリューション,管理本部,小林 真由,81966,承認済,管理本部で確認中。経費に関連する資料と照合予定。
07-051,2026-06-09,経費,請求,備品購入 051（請求確認含む）,橘建材株式会社,経理部,佐藤 陽子,83336,差戻し,経理部で確認中。請求に関連する資料と照合予定。
07-052,2026-06-10,経費,会議,出張旅費 052（会議確認含む）,株式会社晴海オフィスサービス,総務部,鈴木 健太,84706,保留,総務部で確認中。会議に関連する資料と照合予定。
07-053,2026-06-11,経費,契約,通信費 053（契約確認含む）,京橋データワークス株式会社,営業企画部,田中 美咲,86076,完了,営業企画部で確認中。契約に関連する資料と照合予定。
07-054,2026-06-12,経費,見積,交通費精算 054（見積確認含む）,株式会社白峰システムズ,法務部,高橋 直樹,87446,作成中,法務部で確認中。見積に関連する資料と照合予定。
07-055,2026-06-13,経費,報告,会議費精算 055（報告確認含む）,株式会社桜丘ロジスティクス,人事部,伊藤 彩,88816,確認待ち,人事部で確認中。報告に関連する資料と照合予定。
07-056,2026-06-14,経費,人事,備品購入 056（人事確認含む）,北浜製作所株式会社,情報システム部,渡辺 誠,90186,承認済,情報システム部で確認中。人事に関連する資料と照合予定。
07-057,2026-06-15,経費,経費,出張旅費 057（経費確認含む）,合同会社六本木デザイン,管理本部,小林 真由,91556,差戻し,管理本部で確認中。経費に関連する資料と照合予定。
07-058,2026-06-16,経費,請求,通信費 058（請求確認含む）,株式会社東都メディア,経理部,佐藤 陽子,92926,保留,経理部で確認中。請求に関連する資料と照合予定。
